keystroke_speed,touch_pressure,device_tilt,payment_amount,merchant_type,time_of_day,fraud
49.963209507789,1.677675576811577,25.739814522761677,32448.02200848332,5,3,1
96.05714451279329,1.6114045958239993,36.244454818499385,8702.079469047794,1,1,0
78.5595153449124,4.578145612344665,34.20724184055716,43632.48871140526,1,1,0
67.89267873576293,1.6229578993227776,6.925495711219815,30694.50032955515,2,3,0
32.48149123539492,1.7237737675788396,6.716226138366325,7944.473789492017,4,0,0
32.47956162689621,3.9172921808808367,12.0678465485211,48120.66906831222,0,3,0
24.64668897345596,2.52382929102743,16.248362685346674,25966.436620432498,1,0,0
89.29409166199481,3.9951975062983154,18.380501163381716,3737.6327483955847,0,3,0
68.0892009394567,0.7941477090397335,30.586374757500536,31378.961930311856,6,2,1
76.64580622368364,2.694070371530229,2.5506194474625934,12734.62545993923,3,0,0
21.646759543664196,0.6512612008247718,1.5602716901729874,40204.303248677395,3,1,1
97.59278817295954,0.7819394155490953,17.635975332475905,40909.32147095291,4,2,0
86.59541126403374,4.578968540049849,31.37236614620912,48949.473057147625,1,0,0
36.987128854262096,1.1266041700291782,8.704590433041716,25143.289598122734,6,0,1
34.54599737656805,2.895893070238477,28.867701656531327,22802.348298414083,2,0,0
34.6723607882747,2.3499302117031795,11.692266207313477,37698.43271177938,1,3,0
44.33937943676302,2.063044968164792,39.873874896608235,6710.2857514621355,0,0,0
61.98051453057903,4.549250055592726,40.306047491997745,27391.084138276896,5,1,1
54.55560149136926,0.5982052854897028,13.377924192659693,27357.75524652946,3,0,0
43.298331215843355,3.4870535877901507,10.349718928345823,4564.708828238322,0,1,0
68.94823157779035,4.835274953960977,18.508678742980408,20957.405866794987,4,1,0
31.15950885216335,3.020756825578289,10.823921333106693,42678.91144850338,3,1,0
43.37157188281745,4.715701079148913,30.257272948126666,42822.06573753355,2,2,0
49.308947463495336,0.735160456787107,37.172910804672846,5051.959479492082,3,1,1
56.48559873736288,2.384569935833726,30.289145891004765,4626.97204911676,5,3,0
82.81407691144109,1.6707100593292301,37.09577012622073,13208.504302396572,6,0,1
35.97390257266878,3.788694342413284,17.864647299336337,43750.82652144427,1,3,0
61.13875507308893,4.91583690723761,7.0342636818987385,6532.238995167597,5,2,0
67.39316550896339,1.654385280999115,33.207792632891646,36027.840451109565,6,0,0
23.71603301759982,3.443785706633335,16.221352731369926,5148.164418693851,5,1,0
68.60358815211507,1.3914393474188307,30.207187135310964,31194.578902016485,1,0,0
33.64192989498332,3.0439861455722443,12.178977389179455,17867.758226045327,3,2,0
25.20412743882236,2.587696190097513,3.65533356630027,39466.806751996766,4,2,0
95.91084298026666,4.8740239833419166,44.666180796949355,11761.153396385644,1,3,0
97.25056264596475,3.2383727271340996,7.029067856876968,31996.171286558994,1,0,0
84.67178784931689,2.0727786743906846,44.478944728356645,11860.558475336658,6,0,1
44.36910153386965,1.0134310319957,43.97759696549013,35711.648127296474,2,0,0
27.81376912051071,1.1806107293072055,35.721814675861786,43696.53392458137,3,3,1
74.73864212097254,1.5139261847805578,29.67403329368989,6427.409776425326,1,2,0
55.21219949916811,1.629349976031341,26.001317261298812,43343.124860915625,4,1,0
29.763058787582306,4.32777226028512,38.97456954200256,29719.405195273466,0,0,0
59.614152808901615,3.025502547271362,13.024778472876957,6442.8134942644965,3,3,0
22.75108168921747,2.855259101184649,21.045654561819468,21434.33858244963,2,3,0
92.74563216630257,1.0164599234114786,27.872548621492587,8126.928644906385,5,1,0
40.70239852800135,4.370628620072457,18.503571414127098,35047.35965444182,1,2,0
73.00178274831856,3.7526643644381767,19.236890434062058,37967.51990745569,4,0,0
44.93688608715288,0.8045076285500071,14.862810037593798,5379.246361612668,3,0,0
61.605441694224865,3.685257937533959,25.390431750804122,25356.378649462753,4,3,0
63.73682234746237,2.9459219780419073,38.27585376068022,40749.79029569327,4,2,0
34.788356442042165,0.8677640558605022,9.068777010284078,46814.535773394724,6,0,1
97.56677022116469,2.562352886878954,42.049486743904865,25724.541550414324,5,1,1
82.01062586888916,2.6811332920852116,31.008944418670335,47518.93325820921,2,2,0
95.15991532513513,1.2459854307347409,37.04729457060136,26830.879625755886,3,2,0
91.5861880342119,4.75564166150127,25.028581168350524,19770.105680535406,1,3,0
67.83199830488681,4.324889171662979,35.078251564082855,42425.33611478948,2,3,1
93.74993880184934,3.5106005179809876,0.7290178802760244,24699.837251858644,1,0,0
27.07940016415356,2.5803300245027323,36.827119115079086,23647.9352771697,0,3,1
35.67862899353162,2.3529449371302884,1.8062486588414934,24566.593221550433,4,2,0
23.618183112843045,3.4293806021792936,40.04610193632881,42354.571593300294,0,0,0
46.02642646106115,2.9544434123310745,44.63832362573895,41613.8829302338,6,0,1
51.09418317515856,0.7802289764684853,13.233035797955,20235.647622766537,4,2,0
41.70792254191167,2.8062619194664924,9.464335032860715,16731.6630075392,5,0,0
86.29900073215435,4.128816277547777,34.44135137361183,24647.20839955255,2,1,0
48.540266135487144,2.566579449186311,11.386185341411394,28681.348235881742,1,1,0
42.47476077499046,0.7338045989942079,38.950307242749155,11993.026810337047,6,0,1
63.41568665265988,4.0382518972281485,4.627916647086452,39718.35872730797,5,3,1
31.27393799798101,1.4061370196118848,5.667983837071121,24375.490010047903,1,1,0
84.17575846032318,1.6637937569961745,44.0618199795277,16768.872866155984,2,0,0
25.964051494381664,1.2411785904453314,30.32275042215021,5430.367548903131,3,1,1
98.95095492804138,1.985967791921739,38.10992509930288,12018.373504139985,6,3,1
81.77958154373259,3.905381775598858,14.59482198081831,47469.13047062359,0,2,0
35.89725452273379,2.837236367767718,30.4417687284272,15324.474372294377,0,0,0
20.441769369888192,1.4219657336782066,26.740882228886875,8526.078539415063,1,0,1
85.23691427638673,4.450235351684183,27.141755405532614,23087.572303584162,1,0,0
76.54858750780937,4.458118347281881,30.71396067919747,15423.67839367641,1,0,0
78.32057344327899,4.417602912707031,25.891162790809435,1854.4465885325883,6,0,0
81.70162773487566,1.5745829512169267,19.307806618619967,16224.946342242922,2,0,0
25.92357213872723,2.5305770488144463,12.416521247124608,27251.020334579483,3,3,0
48.67725828354181,4.932453452633938,34.58615989109409,27630.44736379635,0,2,0
29.269524762010377,3.974056143394957,10.18225935014338,17892.290166726747,5,3,1
89.04827407004748,0.6222533955150191,31.15594377694864,22420.407537004772,4,3,1
69.86385014620464,0.7934206606722143,10.499977019219699,48279.344119914844,6,2,1
46.471841988211935,2.5876911956554975,28.139857647950425,18929.68901379255,6,3,0
25.084668022881893,4.591490926377021,33.6185220208063,12985.51798167315,2,1,0
44.878585737252976,2.924158090787214,9.842125000794264,12249.00549893133,0,3,0
46.014665762139764,2.740156286154306,2.6974485387588727,22942.454173936294,3,0,0
78.36849426704512,0.9746316498048376,5.893818434737834,38000.05542097551,2,1,0
71.00459770841705,3.4555104712593234,27.269863527196147,10378.810391004812,5,1,0
90.97701940610612,4.199464222701015,38.2250882801581,35493.87674432433,0,2,0
57.777194012955945,2.2118900337840306,2.0248569555940965,1155.3761851358727,2,3,0
29.567539675064136,3.9902533291639735,33.036806656874084,21004.755601398905,0,3,0
77.0595829778396,4.8401449425536525,15.359339067752346,38815.666753619065,0,1,0
80.8628038893518,1.416949066074601,21.533776646378513,17002.774493144127,6,3,1
64.9021758055597,2.854983340376336,41.79867974305046,28230.481362125432,3,3,0
81.67737439636488,1.79212081138059,14.938717713113046,10328.463718012948,6,2,1
59.50364770915126,4.067844885652277,20.940162027276873,37125.570017196,4,1,0
61.818626350559526,3.099170146465209,0.6157086642306497,2708.727253111105,3,0,0
54.20328146868397,3.355620878976367,3.6719424002177266,42641.87797928747,0,1,0
22.033530139527613,4.090613718271523,11.636621601065281,9989.999682441241,2,2,0
28.631314159464356,2.281867126981047,1.2533508369483481,43732.46178224571,5,2,1
22.51433485493874,4.617905307831695,28.411889672171295,17691.209140895815,3,2,0
70.91283290110243,2.8986299026076296,19.187926056073014,36161.91036627688,4,3,0
45.148478486106136,1.210796702759066,24.666534122760993,16029.342359530805,0,1,0
60.685655293176225,3.631546031759611,7.859123365334829,45304.99239460891,5,3,1
92.60531791408744,4.069676076972145,13.316941324647726,6419.192563366881,3,3,0
39.94337833191,1.92542754680387,29.87210136837263,9008.137484702675,6,1,0
52.830633842850375,4.357306656494389,43.43862256336799,24702.203245424233,6,2,1
80.4440910834439,4.577644646445949,2.268754812099414,4188.728108003492,3,0,0
38.3038532393298,1.7460701932001401,40.067294438486975,9879.41121661792,3,0,0
26.158392786303438,4.925846627218499,25.959654059004382,47193.94247237952,3,1,0
43.180116233101444,1.133201876219413,25.376380504003066,48826.83409127957,5,1,1
